ID,Bin No,SKU,Batch No,CFC,Description,UOM,Created At,Updated At,Expire Days
27,A27,FXC70010S,Z19NOV25,179,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
28,A27,FXC70051S,Z19NOV25,18,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
29,A28,FXC70010S,Z13NOV25,120,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
30,A29,FXC70010S,Z13NOV25,90,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
31,A30,FXC70010S,Z13NOV25,78,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
32,A31,FXC70010S,Z11NOV25,56,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
33,A35,FXC70010S,Z20NOV25,120,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
34,B01,FXC70020SB,Z19NOV25,3,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
35,B01,FXC70020SB,Z18NOV25,93,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
36,B03,FXC70010S,Z19NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
37,B06,FXC70010S,Z19NOV25,98,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
38,B27,FXC70010S,Z18NOV25,131,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
39,B28,FXC70010S,Z18NOV25,169,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
40,B31,FXC74010S,Z19NOV25,120,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
41,B41,FXC70020SB,Z20NOV25,30,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
42,C LINE,FXC70010S,Z18NOV25,19,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
43,C01,FXC170010S,Z03NOV25,3,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
44,C01,FXC30005SLA,Z31OCT25,114,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
45,C01,FXC30005SLA,Z14NOV25,30,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
46,C01,FXC50005S,Z14NOV25,26,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
47,C01,FXC60005S,Z21OCT25,1,"FXC60005S",2.000,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
48,C01,FXC70020SB,Z18NOV25,2,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
49,C01,FXC70051S,Z21NOV25,10,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
50,C01,FXC70051S,Z19NOV25,15,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
51,C01,FXC73030SA,Z21NOV25,5,"FXC73030SA",2.000,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
52,C01,FXC75010SA,Z10NOV25,4,"FXC75010SA",2.000,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
53,C05,FXC70020SB,Z21NOV25,210,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
54,C08,FXC74010S,Z13NOV25,210,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
55,C09,FXC74010S,Z13NOV25,210,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
56,C10,FXC74010S,Z13NOV25,210,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
57,C11,FXC60005S,Z14NOV25,210,"FXC60005S",2.000,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
58,C12,FXC70020SB,Z18NOV25,210,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
59,C13,FXC50005S,Z15NOV25,210,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
60,C14,FXC40005SL,Z14NOV25,210,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
61,C15,FXC70020SB,Z20NOV25,210,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
62,C17,FXC71010S,Z17NOV25,150,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
63,C18,FXC71010S,Z17NOV25,191,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
64,C19,FXC30005SLA,Z15NOV25,210,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
65,C20,FXC30005SLA,Z15NOV25,210,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
66,C21,FXC70010S,Z13NOV25,90,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
67,C21,FXC70020SB,Z21NOV25,90,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
68,C22,FXC40020S,Z14NOV25,150,"48898 BINGO! CHIPS RS.20 MASALA",2.304,Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:55 GMT+0530 (India Standard Time),
69,C23,FXC170005S,Z25NOV25,210,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
70,C23,FXC71010S,Z22NOV25,210,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
71,C24,FXC71010S,Z22NOV25,210,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
72,C25,FXC70010S,Z22NOV25,210,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
73,C25,FXC70010S,Z22NOV25,210,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
74,C27,FXC70010S,Z17NOV25,180,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
75,C28,FXC71010S,Z22NOV25,168,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
76,C29,FXC71010S,Z17NOV25,120,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
77,C31,FXC71010S,Z22NOV25,210,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
78,C32,FXC20050S,Z25NOV25,36,"FXC20050S",2.000,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
79,C32,FXC71010S,Z22NOV25,30,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
80,C33,FXC70010S,Z19NOV25,30,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
81,C33,FXC70010S,Z18NOV25,9,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
82,C34,FXC70010S,Z21NOV25,30,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
83,C34,FXCM,Z17NOV25,8,"FXCM",2.000,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
84,C35,FXC74010S,Z19NOV25,2,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
85,C42,FXC20005SC,Z25NOV25,30,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
86,C42,FXC20010SA,Z25NOV25,22,"48180 BINGO! CHIPS RS.10 CRM&ON",2.820,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
87,C42,FXC20050S,Z25NOV25,39,"FXC20050S",2.000,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
88,C42,FXC71020SA,Z17NOV25,90,"48112 BINGO! OS RS.20 SALT SPRINKLED",2.203,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
89,D01,FXC170010S,Z03NOV25,2,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
90,D01,FXC20005SC,Z06NOV25,52,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
91,D01,FXC20005SC,Z05NOV25,13,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
92,D01,FXC20010SA,Z04NOV25,28,"48180 BINGO! CHIPS RS.10 CRM&ON",2.820,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
93,D01,FXC30005SLA,Z15NOV25,12,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
94,D01,FXC30005SLA,Z01NOV25,17,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
95,D01,FXC30005SLA,Z06NOV25,2,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:56 GMT+0530 (India Standard Time),
96,D01,FXC40005SL,Z14NOV25,60,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
97,D01,FXC40010SA,Z14NOV25,232,"48900 BINGO! CHIPS RS.10 MASALA",2.820,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
98,D01,FXC70010S,Z17NOV25,11,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
99,D01,FXC70010S,Z18NOV25,2,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
100,D01,FXC70010S,Z20NOV25,6,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
101,D01,FXC70010S,Z17NOV25,10,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
102,D01,FXC70051S,Z18NOV25,9,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
103,D01,FXC71051S,Z17NOV25,3,"48109 BINGO! OS RS.50 SALT",3.809,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
104,D01,FXC74050S,Z19NOV25,16,"FXC74050S",2.000,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
105,D02,FXC40005SL,Z14NOV25,90,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
106,D03,FXC30005SLA,Z15NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
107,D04,FXC30005SLA,Z15NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
108,D05,FXC70010S,Z22NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
109,D06,FXC30005SLA,Z15NOV25,206,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
110,D08,FXC50005S,Z15NOV25,120,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
111,D11,FXC70010S,Z22NOV25,210,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
112,D11,FXC70010S,Z22NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
113,D13,FXC71010S,Z22NOV25,168,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
114,D14,FXC70010S,Z21NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
115,D15,FXC50005S,Z15NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
116,D19,FXC70010S,Z22NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
117,D20,FXC30005SLA,Z15NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
118,D21,FXC70020SB,Z21NOV25,270,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:57 GMT+0530 (India Standard Time),
119,D23,FXC71020SA,Z17NOV25,240,"48112 BINGO! OS RS.20 SALT SPRINKLED",2.203,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
120,D24,FXC71020SA,Z17NOV25,240,"48112 BINGO! OS RS.20 SALT SPRINKLED",2.203,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
121,D25,FXC70010S,Z20NOV25,120,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
122,D26,FXC70010S,Z20NOV25,120,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
123,D27,FXC70010S,Z20NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
124,D27,FXC70010S,Z20NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
125,D28,FXC74050S,Z20NOV25,230,"FXC74050S",2.000,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
126,D29,FXC70010S,Z21NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
127,D30,FXC40005SL,Z14NOV25,12,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
128,D30,FXC70020SB,Z20NOV25,150,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
129,D31,FXC70020SB,Z22NOV25,72,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
130,D31,FXC71020SA,Z21NOV25,60,"48112 BINGO! OS RS.20 SALT SPRINKLED",2.203,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
